date,TSLA.Close,TSM.Close,JNJ.Close,UNH.Close,JPM.Close,TCEHY.Close,TCTZF.Close,XOM.Close,BAC.Close,PG.Close,CVX.Close,JPM.PC.Close,JPM.PD.Close,LVMUY.Close,BAC.PK.Close,HD.Close,RHHBF.Close,RHHBY.Close,KO.Close,BML.PL.Close,BAC.PE.Close,ABBV.Close,BML.PG.Close,BAC.PB.Close,BML.PH.Close,BML.PJ.Close,BABA.Close,BABAF.Close,AVGO.Close,PEP.Close,RYDAF.Close,SHEL.Close,VZ.Close,COST.Close,AZNCF.Close,ABT.Close,NVS.Close,WFC.PY.Close,ADBE.Close,NVSEF.Close,WFC.PL.Close,CMCSA.Close,ORCL.Close,DHR.Close,WFC.PR.Close,WFC.PQ.Close,ACN.Close,CSCO.Close,LRLCF.Close,CICHF.Close,MCD.Close,NKE.Close,INTC.Close,C.PJ.Close,TMUS.Close,TXN.Close
01/02/2020,86.052002,60.040001,145.970001,292.5,141.089996,49.880001,49.880001,70.900002,35.639999,123.410004,121.43,28.5,27.639999,94.279999,27.360001,219.660004,324.950012,40.889999,54.990002,24.280001,24.5117,89.550003,21.48,27.73,21.24,23.549999,219.770004,27.25,322.390015,135.820007,30.0,59.740002,61.049999,291.48999,100.0,86.949997,94.949997,26.870001,334.429993,94.800003,1452.51001,45.369999,53.950001,155.110001,29.030001,27.629999,210.149994,48.419998,293.450012,0.87,200.789993,102.199997,60.84,28.57,78.589996,129.570007
01/03/2020,88.601997,58.060001,144.279999,289.540009,138.339996,49.029999,48.93,70.330002,34.900002,122.580002,121.010002,28.6,27.66,93.440002,27.370001,218.929993,319.75,40.650002,54.689999,24.35,24.6,88.699997,21.42,27.719999,21.42,23.540001,217.0,26.91,314.190002,135.630005,30.18,60.209999,60.400002,291.730011,101.5,85.889999,94.790001,26.85,331.809998,93.25,1457.0,45.009998,53.759998,154.149994,29.120001,27.780001,209.800003,47.630001,297.130005,0.84,200.080002,101.919998,60.099998,28.719999,78.169998,127.849998
01/06/2020,90.307999,57.389999,144.100006,291.549988,138.229996,48.77,48.700001,70.870003,34.849998,122.75,120.599998,28.540001,27.58,93.419998,27.33,219.960007,319.75,41.02,54.669998,24.455,24.497101,89.400002,21.469999,27.67,21.422899,23.530001,216.639999,26.91,313.720001,136.149994,30.469999,60.959999,60.27,291.809998,99.699997,86.339996,95.43,26.84,333.709991,94.349998,1467.469971,44.669998,54.040001,154.610001,29.049999,27.690001,208.429993,47.799999,293.0,0.84,202.330002,101.830002,59.93,28.719999,78.620003,126.959999
01/07/2020,93.811996,58.32,144.979996,289.790009,135.880005,49.779999,49.77,70.290001,34.619999,121.989998,119.059998,28.4,27.5,92.540001,27.16,218.520004,322.049988,40.700001,54.25,24.26,24.51,88.889999,21.4293,27.450001,21.309999,23.459999,217.630005,26.91,312.640015,134.009995,30.549999,60.400002,59.599998,291.350006,99.699997,85.860001,94.480003,26.57,333.390015,95.0,1473.5,44.93,54.16,156.130005,28.790001,27.5,203.929993,47.490002,288.549988,0.88,202.630005,101.779999,58.93,28.629999,78.919998,129.410004
01/08/2020,98.428001,58.75,144.960007,295.899994,136.940002,49.650002,49.650002,69.230003,34.970001,122.510002,117.699997,28.49,27.549999,93.300003,27.309999,221.789993,322.049988,40.84,54.349998,24.4,24.440001,89.519997,21.93,27.549999,21.307199,23.65,218.0,26.91,308.73999,134.699997,30.139999,59.689999,59.709999,294.690002,99.699997,86.209999,94.480003,26.58,337.869995,94.720001,1480.0,45.389999,54.130001,156.289993,28.809999,27.559999,204.330002,47.52,287.5,0.88,205.910004,101.550003,58.970001,28.709999,79.419998,129.759995
01/09/2020,96.267998,59.23,145.389999,294.220001,137.440002,50.48,50.5,69.760002,35.029999,123.849998,117.510002,28.469999,27.540001,94.5,27.33,225.190002,322.049988,40.860001,55.34,24.469999,24.495001,90.209999,21.983,27.620001,21.440001,23.840099,221.779999,26.91,306.26001,134.789993,29.809999,59.68,58.849998,299.420013,100.959999,86.440002,94.769997,26.610001,340.450012,95.050003,1481.0,45.509998,54.380001,157.669998,28.879999,27.43,206.149994,47.32,289.75,0.89,208.350006,101.480003,59.299999,28.700001,79.809998,131.330002
01/10/2020,95.629997,58.860001,145.059998,295.130005,136.070007,51.43,51.27,69.139999,34.740002,123.970001,116.440002,28.450001,27.559999,94.080002,27.389999,224.220001,322.049988,41.029999,55.529999,24.49,24.5196,89.059998,22.059999,27.6,21.370001,23.834,223.830002,28.110001,299.220001,134.529999,29.51,59.009998,58.990002,297.23999,100.959999,85.360001,93.860001,26.690001,339.809998,95.050003,1478.0,44.98,54.450001,158.119995,28.879999,27.559999,207.660004,47.130001,291.380005,0.87,207.270004,100.900002,58.939999,28.709999,79.0,130.0
01/13/2020,104.972,60.060001,145.699997,285.850006,137.199997,52.310001,52.259998,69.800003,35.060001,124.879997,116.660004,28.530001,27.639999,95.470001,27.370001,223.339996,326.299988,41.169998,56.130001,24.559999,24.636299,88.519997,21.950001,27.75,21.389,23.940599,230.479996,28.110001,301.179993,136.529999,29.700001,58.959999,59.150002,299.869995,100.959999,85.120003,93.709999,26.74,345.630005,95.050003,1490.0,45.799999,54.580002,159.570007,28.959999,27.59,209.589996,47.970001,292.950012,0.89,206.509995,102.160004,59.59,28.84,79.400002,129.949997
01/14/2020,107.584,60.32,146.520004,288.23999,138.800003,51.389999,51.709999,69.199997,35.32,124.690002,116.300003,28.59,27.629999,95.699997,27.4,222.809998,325.0,41.18,56.0,24.629999,24.67,88.199997,22.078501,27.82,21.48,24.110001,226.490005,28.389999,308.179993,136.850006,29.59,58.919998,59.040001,299.75,100.230003,85.739998,94.379997,26.709999,344.630005,92.849998,1496.790039,46.029999,54.880001,161.389999,28.9,27.540001,207.729996,47.790001,290.850006,0.88,207.320007,102.919998,59.43,28.9,79.800003,130.669998
01/15/2020,103.699997,58.389999,147.009995,296.410004,136.720001,51.169998,51.189999,69.089996,34.669998,125.959999,116.129997,28.58,27.6,96.18,27.26,224.589996,325.0,41.540001,56.700001,24.639999,24.690001,89.260002,22.139999,27.73,21.48,24.219999,225.059998,28.200001,303.140015,139.199997,29.450001,58.82,59.099998,300.820007,100.230003,87.379997,94.599998,26.559999,342.940002,94.940002,1497.680054,46.279999,54.759998,160.800003,28.91,27.530001,207.259995,48.009998,302.450012,0.87,209.770004,102.790001,58.939999,28.889999,80.269997,129.169998
